aircraft_type,component_type,aircraft_age_cycles,flight_duration_hr,cabin_temperature,humidity,passenger_load,cycles_since_install,wear_index,malfunction_count,malfunction_severity,environmental_stress,weibull_hazard_proxy,failure_next_n_flights,remaining_flights_estimate,urgency_class
A321,seat_power_unit,3295,2.4,21.19,27.7,130,3723,11.69,1,6.77,2.45,0.513,1,4,CRITICAL
E195-E2,cabin_light_driver,13699,4.09,18.71,24.84,184,2607,42.52,2,4.21,1.03,0.3509,1,30,PLAN
E195-E2,seat_power_unit,18702,5.01,22.22,13.11,187,4022,64.93,5,6.3,0.0,0.8072,1,0,CRITICAL
A320neo,lavatory_sensor,2900,4.44,21.26,39.84,207,1382,58.98,3,0.9,1.7,0.1877,0,37,OK
A320neo,lavatory_sensor,7691,2.48,25.41,12.71,115,3197,39.65,2,6.47,0.6,0.6098,0,12,SOON
A320neo,galley_chiller,14613,4.15,24.02,34.48,207,828,35.42,0,5.14,2.84,0.0456,0,35,OK
A320neo,seat_power_unit,10678,1.85,17.78,45.64,183,2904,43.81,1,4.37,1.57,0.4834,1,14,SOON
A320neo,galley_chiller,22837,1.17,20.65,30.06,119,1746,24.79,0,2.72,1.02,0.2573,1,30,PLAN
B737-800,seat_power_unit,3778,4.54,23.0,26.07,117,2160,46.2,2,4.42,0.63,0.2808,1,22,PLAN
E195-E2,lavatory_sensor,27851,4.62,25.96,37.25,85,3322,46.51,0,5.84,2.89,0.7084,0,0,CRITICAL
A321,cabin_light_driver,7578,1.01,32.73,28.89,203,487,40.48,1,4.4,5.56,0.0196,0,40,OK
B737-800,cabin_light_driver,15226,5.26,25.81,40.04,99,963,66.01,0,7.94,1.68,0.078,0,29,PLAN
A320neo,cabin_light_driver,30622,2.95,18.95,26.64,108,2321,28.73,3,6.31,1.05,0.246,1,13,SOON
B737-800,lavatory_sensor,21487,5.06,22.62,36.85,129,1733,17.32,1,2.1,1.48,0.1692,1,40,OK
B737-800,cabin_light_driver,30958,4.53,23.72,34.19,89,2335,38.54,3,4.11,0.0,0.2699,1,28,PLAN
E195-E2,lavatory_sensor,3354,5.04,20.92,37.87,186,1799,50.23,3,3.57,2.26,0.2854,0,26,PLAN
E195-E2,lavatory_sensor,23099,4.73,24.88,55.99,171,321,46.08,2,5.84,4.33,0.0099,0,34,OK
A320neo,cabin_light_driver,4934,5.38,16.0,40.2,92,3843,45.28,0,5.28,2.28,0.6412,0,15,SOON
A320neo,galley_chiller,20054,3.79,25.21,43.55,93,2850,27.73,0,6.89,1.65,0.7244,1,3,CRITICAL
A320neo,ife_display,11991,1.95,21.09,31.13,73,2524,30.31,1,3.15,0.0,0.4243,1,31,PLAN
A321,cabin_light_driver,24711,2.69,22.56,40.46,207,661,39.21,0,4.04,2.14,0.0275,0,42,OK
E195-E2,galley_chiller,6306,4.36,28.86,34.98,133,857,37.79,0,6.1,2.03,0.054,0,28,OK
A321,galley_chiller,28082,1.62,17.95,38.33,165,2470,67.77,3,8.24,0.54,0.7321,1,0,CRITICAL
B737-800,seat_power_unit,16357,5.18,24.09,45.14,91,272,52.75,1,1.54,2.1,0.0032,0,52,OK
A321,galley_chiller,17444,1.84,26.18,32.5,103,1969,38.41,1,5.47,2.5,0.4299,1,23,PLAN
A320neo,ife_display,18905,4.93,23.68,33.62,148,3652,67.71,2,2.15,0.81,0.8866,1,6,CRITICAL
A320neo,cabin_light_driver,3795,3.13,16.54,32.65,100,3595,56.03,4,4.32,0.86,0.616,1,9,SOON
B737-800,seat_power_unit,11553,4.77,28.4,32.44,158,2139,23.56,5,3.6,2.56,0.2371,1,22,PLAN
B737-800,lavatory_sensor,22804,5.31,22.15,39.91,203,998,5.0,2,3.18,0.7,0.0422,0,41,PLAN
A321,lavatory_sensor,29895,2.84,20.89,34.0,114,358,24.13,3,2.24,0.79,0.0074,0,48,OK
A320neo,cabin_light_driver,30565,4.1,21.76,54.48,158,751,58.71,1,1.62,1.04,0.0447,0,42,OK
B737-800,lavatory_sensor,17906,1.94,21.47,67.47,202,1193,64.05,1,2.12,4.03,0.1785,0,40,OK
A320neo,seat_power_unit,10077,4.58,18.24,31.75,199,2286,18.12,1,4.3,3.49,0.2423,0,28,PLAN
E195-E2,ife_display,16267,4.67,23.66,41.23,71,2991,59.86,0,3.26,1.67,0.7253,0,15,SOON
A320neo,cabin_light_driver,15869,2.26,20.61,49.42,85,1919,59.17,2,1.34,3.23,0.2726,1,42,OK
A320neo,cabin_light_driver,14002,1.01,25.68,35.08,212,3399,73.11,1,8.68,1.59,0.6594,1,2,CRITICAL
A321,lavatory_sensor,12987,2.88,25.07,27.06,204,711,65.11,3,3.97,0.0,0.0506,0,36,PLAN
A321,cabin_light_driver,27286,1.68,29.5,57.12,116,1770,72.33,4,3.01,6.74,0.3217,1,26,PLAN
A321,lavatory_sensor,13811,4.67,22.15,45.55,145,2539,56.79,1,4.8,1.14,0.5102,1,14,SOON
A321,seat_power_unit,3625,2.1,19.79,41.51,153,277,56.19,1,3.74,2.49,0.0035,0,41,OK
E195-E2,cabin_light_driver,23143,5.24,17.12,53.96,166,3719,41.93,3,3.39,2.66,0.6243,1,22,SOON
A321,seat_power_unit,21555,5.37,31.77,46.47,178,4080,62.76,4,6.1,5.91,0.9051,1,0,CRITICAL
A321,galley_chiller,13471,5.08,25.65,37.47,124,3050,24.02,2,3.69,1.92,0.7754,1,7,SOON
A321,galley_chiller,20565,3.66,20.23,27.26,199,2899,45.5,1,3.82,0.0,0.794,1,8,SOON
A320neo,lavatory_sensor,29338,2.13,29.77,32.57,78,906,57.72,6,9.14,2.58,0.0913,0,15,SOON
B737-800,seat_power_unit,28868,4.61,28.42,51.25,74,798,73.35,0,3.42,6.04,0.0583,0,41,OK
A320neo,lavatory_sensor,25068,4.13,17.59,45.5,208,1023,39.4,2,5.41,2.19,0.0858,1,31,PLAN
B737-800,cabin_light_driver,19250,5.39,19.99,35.95,95,605,65.4,3,3.91,3.22,0.0324,1,36,OK
A320neo,lavatory_sensor,3579,2.64,22.47,57.43,214,2312,44.45,1,4.03,2.36,0.4338,1,26,PLAN
E195-E2,galley_chiller,17244,1.17,18.72,36.27,111,3927,65.77,1,2.96,1.93,0.9934,1,0,CRITICAL
A321,cabin_light_driver,25883,5.49,22.61,48.86,122,2797,33.58,5,4.48,0.97,0.3618,1,17,SOON
E195-E2,galley_chiller,26626,4.76,25.85,40.42,74,3620,61.07,1,3.61,2.27,0.9814,1,1,CRITICAL
A321,lavatory_sensor,24594,1.92,17.51,59.26,206,4015,46.28,1,2.5,4.82,0.8706,1,12,SOON
A320neo,ife_display,30619,4.24,24.17,46.28,122,2735,26.67,1,5.62,1.31,0.4916,1,13,SOON
B737-800,seat_power_unit,17365,0.9,27.67,38.51,94,483,45.24,0,4.24,2.17,0.0117,0,41,OK
B737-800,seat_power_unit,5893,3.47,24.6,36.03,140,3818,71.79,1,0.0,2.24,0.8234,1,22,SOON
B737-800,seat_power_unit,16810,2.57,22.7,37.83,92,2267,29.65,1,6.85,1.49,0.2628,1,24,PLAN
A321,cabin_light_driver,11787,2.65,20.33,30.02,184,2271,21.28,2,5.45,2.57,0.2248,0,26,PLAN
B737-800,cabin_light_driver,26361,2.02,26.32,22.97,80,4048,55.18,2,6.36,1.04,0.7164,1,3,CRITICAL
E195-E2,ife_display,24715,2.16,18.29,41.4,142,2823,17.8,0,2.89,1.69,0.4671,0,16,PLAN
B737-800,cabin_light_driver,14778,2.99,23.97,32.13,126,508,76.14,2,1.61,1.29,0.0235,0,50,OK
A320neo,seat_power_unit,13748,2.04,23.1,32.1,75,3150,75.69,1,1.37,0.04,0.6467,1,18,PLAN
B737-800,cabin_light_driver,7296,3.05,27.5,37.02,77,3989,66.69,3,7.92,1.46,0.7607,0,0,CRITICAL
B737-800,galley_chiller,4017,3.56,20.67,38.57,145,1019,47.8,3,2.52,0.19,0.0839,0,37,OK
E195-E2,seat_power_unit,11623,4.17,21.01,38.08,127,1927,77.96,4,2.8,0.0,0.2899,1,23,PLAN
A321,lavatory_sensor,9596,4.01,18.03,57.12,88,478,72.22,3,4.07,2.6,0.0278,1,42,OK
A321,galley_chiller,10278,2.01,24.75,45.29,90,2958,38.41,4,3.51,0.99,0.8014,1,4,CRITICAL
B737-800,galley_chiller,30956,1.08,21.3,61.19,186,637,73.9,2,5.86,2.46,0.0363,1,36,PLAN
A321,lavatory_sensor,22005,4.73,19.55,33.17,175,1778,31.59,2,5.4,2.0,0.2241,0,29,PLAN
B737-800,galley_chiller,18349,4.91,19.93,46.62,158,2688,44.45,2,5.64,1.12,0.7376,1,0,CRITICAL
A321,lavatory_sensor,7844,5.4,25.15,33.78,190,3457,15.72,2,3.19,2.17,0.5521,1,17,SOON
A320neo,seat_power_unit,26520,5.31,18.59,31.83,80,1350,50.63,0,3.72,0.0,0.1083,1,37,OK
B737-800,seat_power_unit,20982,3.82,18.94,61.6,169,3730,42.7,1,6.96,2.36,0.7273,1,0,CRITICAL
A320neo,galley_chiller,17317,5.01,26.59,29.55,179,157,39.86,2,2.32,3.36,0.0005,0,47,OK
A320neo,lavatory_sensor,15940,2.96,22.34,13.45,99,733,45.02,3,6.86,0.0,0.0425,1,29,PLAN
B737-800,galley_chiller,18382,4.52,26.82,30.21,147,540,37.57,4,7.45,3.08,0.0152,0,27,PLAN
B737-800,seat_power_unit,26478,5.29,21.56,15.91,181,3078,48.75,2,4.11,2.05,0.5574,1,11,SOON
E195-E2,lavatory_sensor,23107,4.56,23.0,27.54,157,1521,71.1,3,5.15,0.33,0.2369,0,20,PLAN
A320neo,ife_display,16476,2.81,23.63,28.55,106,143,28.89,1,4.39,0.17,0.0006,0,43,OK
A320neo,ife_display,21626,2.64,28.55,38.39,166,3244,63.53,0,1.44,1.17,0.821,0,16,SOON
E195-E2,galley_chiller,29020,2.24,28.22,15.45,180,1178,51.87,3,2.51,1.72,0.1461,1,33,OK
A320neo,seat_power_unit,12000,2.59,27.61,51.16,71,2816,54.73,2,5.93,3.96,0.5657,0,11,SOON
A320neo,seat_power_unit,28193,4.67,20.48,17.37,152,2291,47.45,6,4.26,0.72,0.3193,0,22,SOON
A320neo,lavatory_sensor,19911,4.13,19.05,36.59,143,510,35.09,2,2.33,2.56,0.0196,0,43,OK
A321,seat_power_unit,8025,2.05,26.04,34.43,123,2496,56.01,4,4.47,1.0,0.4181,1,18,SOON
E195-E2,galley_chiller,30068,4.17,28.51,47.08,76,3538,57.34,3,5.96,5.36,0.9853,1,0,CRITICAL
B737-800,cabin_light_driver,22149,2.65,27.65,41.87,82,1535,33.59,1,2.85,2.76,0.1401,0,40,OK
B737-800,galley_chiller,13683,3.47,23.05,51.06,178,3427,23.91,1,3.05,2.6,0.8817,1,2,CRITICAL
A320neo,lavatory_sensor,8852,2.6,25.91,34.02,189,1152,49.54,2,6.01,1.78,0.1238,0,24,PLAN
A321,galley_chiller,28625,3.3,25.98,32.89,130,1203,61.58,2,4.3,1.1,0.1606,1,26,PLAN
A321,cabin_light_driver,26017,4.26,23.6,42.54,206,753,66.09,2,2.86,0.62,0.0451,1,43,PLAN
A320neo,cabin_light_driver,4055,4.26,23.77,49.32,204,915,69.66,4,6.11,2.34,0.0747,0,28,PLAN
A320neo,ife_display,20727,4.36,23.39,47.08,166,1028,54.69,5,6.06,1.14,0.089,0,23,PLAN
A320neo,lavatory_sensor,6032,2.7,19.85,41.54,154,2684,43.26,3,4.9,1.44,0.4989,1,14,SOON
A320neo,ife_display,11094,4.08,20.26,40.56,209,586,47.96,0,4.0,1.2,0.0219,0,36,OK
B737-800,cabin_light_driver,18818,2.0,20.19,37.6,158,2259,25.62,2,4.05,1.05,0.2247,0,27,PLAN
B737-800,galley_chiller,9825,3.1,16.6,42.51,205,1115,35.71,3,6.97,0.08,0.0915,0,24,PLAN
A320neo,cabin_light_driver,17252,3.58,23.57,60.38,211,652,47.04,2,1.73,0.04,0.0295,1,45,OK
A321,lavatory_sensor,14914,4.06,22.84,35.33,98,3377,43.2,2,6.53,1.98,0.6815,0,0,CRITICAL
B737-800,lavatory_sensor,19198,5.1,26.05,33.99,165,2241,49.66,1,2.11,2.9,0.4293,1,29,PLAN
B737-800,galley_chiller,25380,2.3,28.04,33.15,176,1221,23.25,2,1.95,0.27,0.1045,0,37,OK
B737-800,cabin_light_driver,7176,4.79,28.3,42.28,188,2639,27.27,3,3.43,3.65,0.3449,1,28,PLAN
A321,lavatory_sensor,25251,2.33,28.67,14.66,120,3727,61.96,3,4.22,1.77,0.8447,1,0,CRITICAL
B737-800,cabin_light_driver,9070,3.44,19.97,36.51,194,1202,33.0,0,1.88,0.11,0.0746,0,44,OK
A320neo,cabin_light_driver,3741,4.71,17.27,47.69,140,1050,35.83,2,2.56,2.85,0.0677,0,43,OK
A321,seat_power_unit,15389,4.23,26.72,32.21,126,2817,49.71,4,7.22,3.05,0.5183,1,5,CRITICAL
A320neo,cabin_light_driver,11324,4.87,28.53,40.05,92,2047,31.24,6,4.93,4.17,0.2416,1,24,PLAN
A321,cabin_light_driver,8003,4.65,29.22,61.2,116,2781,67.91,3,0.79,6.45,0.6027,0,26,PLAN
A321,galley_chiller,14724,2.17,24.94,41.65,211,736,25.38,2,4.27,2.89,0.0289,0,34,OK
A320neo,cabin_light_driver,27301,5.47,16.0,13.37,173,3829,48.03,1,7.43,0.0,0.6148,1,4,CRITICAL
B737-800,ife_display,19313,5.21,24.46,22.49,175,129,34.53,0,1.28,0.55,0.0005,0,54,OK
A320neo,galley_chiller,23324,2.88,25.22,35.24,199,1165,50.81,0,2.18,2.02,0.1357,1,39,OK
A320neo,galley_chiller,7016,1.12,28.01,29.16,108,2587,39.05,5,5.82,3.66,0.7295,1,6,SOON
A320neo,galley_chiller,4938,2.3,28.72,39.14,165,2162,47.57,1,7.13,3.0,0.5807,1,7,SOON
A321,seat_power_unit,12254,4.75,26.64,34.76,123,1424,69.98,2,3.65,1.59,0.1627,0,33,PLAN
A320neo,lavatory_sensor,24638,5.27,20.65,50.83,192,4006,35.63,2,2.46,0.77,0.7663,1,9,SOON
A321,lavatory_sensor,27773,4.73,18.88,26.0,131,1454,35.48,2,4.95,1.39,0.1576,0,35,PLAN
A320neo,lavatory_sensor,5669,2.73,25.14,35.72,193,2800,42.31,2,4.82,1.86,0.5387,1,15,SOON
B737-800,ife_display,16238,1.16,19.83,40.39,178,1707,74.53,3,5.73,0.78,0.3117,0,16,SOON
E195-E2,galley_chiller,13981,3.28,28.9,41.75,181,1839,46.38,1,2.44,4.16,0.4341,1,27,PLAN
A321,lavatory_sensor,23784,2.63,16.18,39.61,204,3202,70.22,3,3.83,1.2,0.7355,1,6,CRITICAL
B737-800,cabin_light_driver,8595,1.47,25.27,12.0,184,1491,44.82,2,6.33,0.0,0.1326,0,29,PLAN
E195-E2,seat_power_unit,16470,1.39,24.28,38.92,116,1674,69.41,4,6.14,2.76,0.2279,1,27,PLAN
E195-E2,galley_chiller,26764,1.6,22.17,36.34,145,3218,55.33,3,6.91,0.0,0.9068,1,0,CRITICAL
B737-800,cabin_light_driver,15912,1.85,19.3,47.51,138,409,57.98,1,3.65,2.16,0.0135,0,43,OK
E195-E2,cabin_light_driver,24832,4.37,16.0,45.95,79,1806,22.16,0,5.1,1.83,0.1474,1,30,OK
E195-E2,cabin_light_driver,20338,2.66,20.87,40.65,156,1186,19.49,2,4.83,0.1,0.0588,0,31,PLAN
B737-800,seat_power_unit,19646,2.91,20.94,41.44,133,2008,67.26,3,3.91,1.92,0.3095,0,24,PLAN
A321,ife_display,10114,3.65,27.45,52.88,127,2387,67.04,2,5.64,3.04,0.6083,0,8,SOON
A320neo,seat_power_unit,30788,5.32,19.87,50.65,85,1793,91.59,1,2.17,3.76,0.3235,1,25,PLAN
A320neo,cabin_light_driver,9844,4.38,24.81,41.03,143,4073,21.25,0,5.98,2.81,0.567,1,6,SOON
A321,ife_display,29053,3.87,17.83,61.6,153,3747,56.74,2,6.11,3.17,0.9163,1,0,CRITICAL
A321,galley_chiller,30699,4.32,24.92,31.09,85,638,29.57,3,4.92,0.0,0.0184,1,33,PLAN
A321,seat_power_unit,17221,4.21,16.0,24.96,162,2658,34.67,2,3.97,0.03,0.3587,1,22,PLAN
B737-800,lavatory_sensor,27305,4.08,31.38,37.88,94,1366,38.96,1,3.99,3.56,0.1748,1,38,OK
B737-800,cabin_light_driver,22965,3.18,22.44,33.89,91,2948,54.88,0,2.89,2.22,0.4898,1,23,PLAN
B737-800,cabin_light_driver,23604,3.51,16.0,12.0,128,2021,36.05,0,5.57,0.0,0.2036,1,29,PLAN
A320neo,cabin_light_driver,4731,3.02,20.13,30.82,126,3912,48.61,2,3.33,1.21,0.6526,1,18,SOON
A320neo,cabin_light_driver,6667,2.72,19.5,41.78,202,3876,62.98,1,1.05,2.57,0.7235,1,25,PLAN
B737-800,lavatory_sensor,4763,2.15,20.38,37.36,79,288,68.3,2,3.83,2.83,0.0088,0,50,OK
B737-800,cabin_light_driver,3652,2.53,21.54,29.46,120,498,60.47,2,5.65,2.14,0.0201,0,36,OK
E195-E2,cabin_light_driver,26374,2.87,20.35,38.47,176,152,56.13,1,5.58,1.92,0.0022,0,41,OK
E195-E2,ife_display,7746,3.57,19.73,39.35,106,3267,45.45,2,4.5,1.25,0.736,1,7,SOON
E195-E2,lavatory_sensor,2978,3.2,18.37,45.87,212,983,37.76,2,3.16,2.32,0.078,0,46,OK
A320neo,cabin_light_driver,29244,1.4,26.29,30.94,177,2980,57.7,1,3.67,1.75,0.5142,0,19,SOON
A321,seat_power_unit,10660,2.46,27.8,47.61,207,1402,29.08,0,2.02,4.16,0.1124,1,48,OK
A320neo,lavatory_sensor,25819,2.63,21.98,26.0,207,1298,50.14,3,0.7,0.09,0.1428,1,41,OK
B737-800,galley_chiller,29886,4.15,22.93,32.46,85,2500,28.64,1,2.82,1.84,0.5914,1,13,SOON
E195-E2,seat_power_unit,17550,2.43,18.49,56.69,136,3185,47.26,1,4.67,2.69,0.6112,1,12,SOON
A320neo,seat_power_unit,28933,0.94,23.28,26.74,177,2348,29.03,1,3.26,1.0,0.2743,0,25,PLAN
B737-800,seat_power_unit,30119,1.29,23.92,30.75,71,2382,40.79,1,3.19,0.0,0.3126,1,31,PLAN
A320neo,cabin_light_driver,6868,3.19,22.12,24.22,135,3035,35.83,1,5.74,0.23,0.4039,1,14,PLAN
A320neo,lavatory_sensor,6933,1.77,24.58,28.9,169,752,33.66,3,3.11,1.41,0.0414,0,42,OK
A320neo,seat_power_unit,13232,3.18,24.23,39.52,184,2451,46.43,3,3.29,1.42,0.3682,0,22,PLAN
A320neo,lavatory_sensor,18568,3.54,18.78,45.77,130,1214,5.0,1,4.35,0.0,0.0614,0,37,OK
E195-E2,lavatory_sensor,24966,5.19,27.77,37.79,195,685,15.56,3,3.57,1.67,0.027,1,27,OK
A321,ife_display,7966,3.92,22.17,34.43,167,1386,62.47,2,3.01,1.47,0.1876,0,28,OK
B737-800,lavatory_sensor,8253,1.04,29.7,24.33,76,837,50.65,1,6.54,3.95,0.0757,1,36,OK
B737-800,cabin_light_driver,11441,2.65,24.68,30.0,110,1365,34.98,1,1.82,0.91,0.1022,0,44,OK
A320neo,ife_display,10453,4.55,30.88,20.99,205,155,65.53,2,2.98,2.38,0.0013,0,44,OK
A320neo,lavatory_sensor,29311,2.1,27.7,46.1,70,3075,36.49,3,5.64,4.26,0.6316,1,10,SOON
B737-800,ife_display,13966,5.15,23.91,46.87,85,1467,37.57,3,4.76,2.0,0.1677,0,32,PLAN
A320neo,galley_chiller,27285,3.33,20.11,37.56,119,2727,33.9,0,1.33,2.04,0.7121,0,26,SOON
E195-E2,cabin_light_driver,4375,1.33,20.19,42.86,214,3087,82.32,2,7.51,1.46,0.6062,1,3,CRITICAL
A320neo,ife_display,5670,2.01,25.13,47.64,172,3372,52.23,2,2.87,2.1,0.8112,1,10,SOON
B737-800,lavatory_sensor,25461,5.07,23.57,39.11,91,374,51.52,5,5.51,2.21,0.0125,0,32,PLAN
B737-800,lavatory_sensor,9837,5.46,20.64,53.33,127,2123,56.4,3,5.64,3.03,0.4224,0,14,SOON
A320neo,lavatory_sensor,5129,4.87,26.33,26.74,206,1743,14.65,1,7.64,1.22,0.1674,0,18,PLAN
A320neo,lavatory_sensor,19565,2.38,23.16,34.16,101,1476,37.31,2,3.56,0.13,0.158,0,31,PLAN
E195-E2,lavatory_sensor,6953,4.44,26.36,32.85,153,3318,56.19,2,2.65,0.43,0.7141,0,12,SOON
A320neo,ife_display,4530,1.92,19.1,45.12,137,333,47.93,1,4.65,0.49,0.0055,1,46,OK
A321,lavatory_sensor,14252,2.67,27.0,22.22,180,1312,87.7,1,7.51,0.89,0.2188,0,23,PLAN
A321,ife_display,18312,4.11,25.0,53.93,179,3269,38.37,4,5.64,3.12,0.7526,1,2,CRITICAL
A320neo,galley_chiller,17671,5.36,27.79,44.18,190,1654,64.98,7,7.14,1.72,0.3727,0,14,SOON
B737-800,lavatory_sensor,19282,2.92,26.91,57.25,87,362,62.51,1,4.45,2.32,0.0147,0,43,OK
B737-800,cabin_light_driver,3466,3.18,22.66,37.55,135,760,50.57,1,0.01,1.71,0.0409,0,54,OK
A321,lavatory_sensor,11005,1.91,22.34,31.95,170,1277,53.84,0,2.09,2.41,0.1576,0,40,OK
B737-800,lavatory_sensor,12485,2.75,30.13,45.23,130,1062,42.78,1,0.46,5.13,0.1163,0,47,OK
A320neo,cabin_light_driver,11066,1.19,21.84,49.34,166,2762,12.48,1,3.1,0.5,0.2585,1,28,PLAN
A320neo,galley_chiller,18565,4.85,25.99,30.14,162,752,54.29,1,3.43,1.97,0.044,0,33,PLAN
B737-800,seat_power_unit,9260,1.01,21.47,16.03,123,3147,55.71,0,0.0,0.8,0.5855,0,28,PLAN
E195-E2,galley_chiller,20622,4.04,16.0,17.91,84,1318,58.54,2,5.22,0.0,0.1827,1,28,PLAN
A320neo,lavatory_sensor,29186,2.16,18.09,40.88,210,336,49.14,1,4.86,1.38,0.0094,1,39,OK
A320neo,cabin_light_driver,21433,3.09,24.62,54.94,189,105,65.47,0,2.85,3.06,0.0027,0,49,OK
A321,ife_display,13766,2.2,25.8,23.69,199,2514,32.41,2,1.55,1.55,0.4632,1,28,PLAN
B737-800,lavatory_sensor,15059,2.74,24.64,35.0,113,3028,74.43,4,7.68,1.78,0.7201,0,0,CRITICAL
A320neo,seat_power_unit,19304,3.42,27.58,34.17,115,614,30.22,2,7.71,3.12,0.0171,1,30,PLAN
A321,lavatory_sensor,23215,3.85,24.57,59.13,116,1308,46.06,1,4.47,3.21,0.1682,0,30,OK
B737-800,lavatory_sensor,11304,5.23,19.9,62.85,74,3119,60.26,3,4.21,2.49,0.7325,1,9,CRITICAL
A321,ife_display,3883,2.43,25.38,42.67,94,3565,38.73,1,3.14,1.82,0.7937,1,7,SOON
A320neo,lavatory_sensor,22615,3.59,23.68,47.88,114,3008,61.48,0,3.98,1.36,0.6654,1,6,SOON
A320neo,ife_display,21455,5.05,20.7,47.57,213,2555,41.83,1,3.91,1.62,0.5166,1,19,SOON
A321,ife_display,5660,2.24,24.89,23.92,99,3082,50.13,5,6.73,1.3,0.7124,1,0,CRITICAL
A321,lavatory_sensor,20468,4.88,23.32,45.68,143,1259,44.74,1,4.56,1.22,0.1331,0,38,OK
E195-E2,lavatory_sensor,4820,5.3,20.58,26.78,149,317,37.62,1,2.42,1.62,0.0073,0,52,OK
B737-800,galley_chiller,20935,4.8,22.29,36.11,122,2339,88.52,3,3.97,0.38,0.7404,1,2,CRITICAL
B737-800,galley_chiller,23788,3.52,28.65,50.54,203,2320,32.88,4,5.5,4.14,0.6061,0,9,CRITICAL
E195-E2,ife_display,3237,4.22,28.52,38.89,83,3305,6.85,1,4.59,3.89,0.5738,1,3,CRITICAL
A321,galley_chiller,23292,3.11,23.75,50.13,196,1033,33.53,3,2.64,2.61,0.0824,1,36,PLAN
A321,galley_chiller,6196,3.65,23.23,52.29,177,3651,50.36,1,3.94,0.69,0.9677,1,3,CRITICAL
E195-E2,galley_chiller,10273,5.38,17.27,18.67,114,2063,41.22,4,5.94,0.23,0.4418,1,6,SOON
A320neo,galley_chiller,22676,2.06,29.88,14.05,181,1846,66.33,1,3.47,1.32,0.4799,0,31,PLAN
B737-800,ife_display,12812,4.55,27.15,50.78,132,4057,65.68,0,5.72,2.23,0.9575,1,0,CRITICAL
B737-800,ife_display,30352,3.23,26.01,51.23,210,2255,42.27,0,5.42,3.23,0.4548,1,17,SOON
A320neo,lavatory_sensor,29794,1.71,16.0,40.82,75,425,17.72,3,5.6,0.46,0.0093,1,38,PLAN
A321,galley_chiller,30630,3.86,23.16,42.31,74,1084,24.9,1,7.54,1.91,0.0782,0,24,PLAN
A320neo,cabin_light_driver,5742,4.55,22.49,47.82,148,2459,47.42,1,5.33,3.37,0.3664,0,20,PLAN
A320neo,ife_display,7771,3.52,25.73,47.62,205,990,19.84,1,3.99,2.95,0.0563,0,25,OK
A321,lavatory_sensor,7964,4.75,21.2,34.65,79,726,41.38,3,3.99,0.97,0.0416,0,35,OK
A320neo,seat_power_unit,19306,2.58,22.07,48.51,182,1258,73.58,2,3.59,1.96,0.1279,0,30,PLAN
B737-800,seat_power_unit,14927,5.1,25.48,34.19,206,2120,54.17,2,4.98,2.52,0.3189,1,20,PLAN
E195-E2,ife_display,23833,3.88,19.91,40.68,140,434,48.82,1,3.08,1.3,0.0109,1,42,OK
B737-800,galley_chiller,10755,4.59,20.7,40.2,195,2164,29.27,2,2.17,1.13,0.4431,1,15,PLAN
A320neo,ife_display,8433,2.16,23.77,28.55,179,2997,51.27,1,3.06,0.0,0.6668,1,9,SOON
A320neo,seat_power_unit,21102,2.95,28.35,29.83,101,1903,43.35,3,6.7,1.66,0.234,1,24,PLAN
A320neo,ife_display,20206,5.08,26.23,62.58,193,2864,52.3,0,0.0,4.67,0.7413,0,25,PLAN
A320neo,lavatory_sensor,22274,1.13,27.3,28.19,171,2644,61.09,1,6.28,1.53,0.5811,1,4,CRITICAL
E195-E2,lavatory_sensor,11600,2.76,23.25,42.07,71,2064,64.17,2,5.33,2.17,0.405,0,24,PLAN
A321,galley_chiller,17644,4.49,28.98,44.38,152,3995,50.32,1,3.93,4.24,0.9948,1,0,CRITICAL
A320neo,galley_chiller,28979,4.32,16.04,37.4,164,2531,57.21,0,4.32,0.5,0.7175,1,10,SOON
B737-800,ife_display,20035,4.82,31.09,45.39,186,3313,38.78,1,5.48,3.8,0.7893,1,4,CRITICAL
A321,ife_display,29096,4.3,31.61,41.62,181,2649,68.39,2,4.36,4.98,0.7359,0,8,CRITICAL
A320neo,lavatory_sensor,15022,5.26,24.83,28.43,138,3932,32.03,2,6.01,1.19,0.7345,1,0,CRITICAL
A320neo,galley_chiller,4064,3.19,26.33,43.9,113,1801,44.27,3,6.98,2.5,0.3772,1,6,SOON
B737-800,lavatory_sensor,24242,3.77,22.85,32.01,97,825,70.26,3,5.17,1.42,0.0749,0,39,PLAN
B737-800,cabin_light_driver,15784,4.8,22.16,57.15,82,793,39.33,3,2.85,3.59,0.0442,0,51,OK
A320neo,galley_chiller,3987,4.13,20.56,42.72,162,4072,23.87,2,4.72,1.68,0.9602,1,0,CRITICAL
E195-E2,cabin_light_driver,6712,1.37,22.8,30.3,209,3286,40.61,1,0.08,0.37,0.4785,0,34,PLAN
E195-E2,galley_chiller,11623,2.59,25.22,41.77,81,1292,73.05,0,4.6,2.21,0.2188,0,32,PLAN
B737-800,galley_chiller,8186,3.44,24.68,27.83,171,1868,7.13,3,4.69,0.25,0.2202,0,27,PLAN
A320neo,lavatory_sensor,22100,4.37,30.95,40.84,154,198,49.84,1,2.64,4.29,0.0039,0,48,OK
