readiness_score,alert_level,dominant_signal,action_category,scenario_id,regime,baseline
77.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0554-maintenance-heavy,maintenance_heavy,static_delay_gate
83.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0555-inventory-heavy,inventory_heavy,static_delay_gate
52.8,Priority,Delay/Gate,Gate/Turnaround,jatm-0556-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
88.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0557-assistance-readiness,assistance_readiness,static_delay_gate
48.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0558-composite-multi-risk,composite_multi_risk,static_delay_gate
95.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0559-low-risk-routine,low_risk_routine,static_delay_gate
69.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0560-maintenance-heavy,maintenance_heavy,static_delay_gate
73.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0561-inventory-heavy,inventory_heavy,static_delay_gate
63.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0562-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
84.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0563-assistance-readiness,assistance_readiness,static_delay_gate
61.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0564-composite-multi-risk,composite_multi_risk,static_delay_gate
92.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0565-low-risk-routine,low_risk_routine,static_delay_gate
78.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0566-maintenance-heavy,maintenance_heavy,static_delay_gate
79.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0567-inventory-heavy,inventory_heavy,static_delay_gate
52.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0568-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
78.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0569-assistance-readiness,assistance_readiness,static_delay_gate
53.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0570-composite-multi-risk,composite_multi_risk,static_delay_gate
92.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0571-low-risk-routine,low_risk_routine,static_delay_gate
72.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0572-maintenance-heavy,maintenance_heavy,static_delay_gate
76.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0573-inventory-heavy,inventory_heavy,static_delay_gate
55.5,Priority,Delay/Gate,Gate/Turnaround,jatm-0574-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
76.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0575-assistance-readiness,assistance_readiness,static_delay_gate
65.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0576-composite-multi-risk,composite_multi_risk,static_delay_gate
91.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0577-low-risk-routine,low_risk_routine,static_delay_gate
77.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0578-maintenance-heavy,maintenance_heavy,static_delay_gate
78.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0579-inventory-heavy,inventory_heavy,static_delay_gate
48.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0580-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
75.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0581-assistance-readiness,assistance_readiness,static_delay_gate
49.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0582-composite-multi-risk,composite_multi_risk,static_delay_gate
94.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0583-low-risk-routine,low_risk_routine,static_delay_gate
70.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0584-maintenance-heavy,maintenance_heavy,static_delay_gate
73.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0585-inventory-heavy,inventory_heavy,static_delay_gate
56.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0586-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
82.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0587-assistance-readiness,assistance_readiness,static_delay_gate
64.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0588-composite-multi-risk,composite_multi_risk,static_delay_gate
96.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0589-low-risk-routine,low_risk_routine,static_delay_gate
77.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0590-maintenance-heavy,maintenance_heavy,static_delay_gate
77.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0591-inventory-heavy,inventory_heavy,static_delay_gate
48.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0592-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0593-assistance-readiness,assistance_readiness,static_delay_gate
50.6,Priority,Delay/Gate,Gate/Turnaround,jatm-0594-composite-multi-risk,composite_multi_risk,static_delay_gate
90.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0595-low-risk-routine,low_risk_routine,static_delay_gate
83.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0596-maintenance-heavy,maintenance_heavy,static_delay_gate
74.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0597-inventory-heavy,inventory_heavy,static_delay_gate
47.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0598-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0599-assistance-readiness,assistance_readiness,static_delay_gate
50.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0600-composite-multi-risk,composite_multi_risk,static_delay_gate
88.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0601-low-risk-routine,low_risk_routine,static_delay_gate
75.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0602-maintenance-heavy,maintenance_heavy,static_delay_gate
74.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0603-inventory-heavy,inventory_heavy,static_delay_gate
54.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0604-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0605-assistance-readiness,assistance_readiness,static_delay_gate
59.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0606-composite-multi-risk,composite_multi_risk,static_delay_gate
86.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0607-low-risk-routine,low_risk_routine,static_delay_gate
71.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0608-maintenance-heavy,maintenance_heavy,static_delay_gate
76.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0609-inventory-heavy,inventory_heavy,static_delay_gate
55.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0610-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0611-assistance-readiness,assistance_readiness,static_delay_gate
52.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0612-composite-multi-risk,composite_multi_risk,static_delay_gate
90.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0613-low-risk-routine,low_risk_routine,static_delay_gate
75.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0614-maintenance-heavy,maintenance_heavy,static_delay_gate
76.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0615-inventory-heavy,inventory_heavy,static_delay_gate
54.8,Priority,Delay/Gate,Gate/Turnaround,jatm-0616-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0617-assistance-readiness,assistance_readiness,static_delay_gate
55.8,Priority,Delay/Gate,Gate/Turnaround,jatm-0618-composite-multi-risk,composite_multi_risk,static_delay_gate
87.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0619-low-risk-routine,low_risk_routine,static_delay_gate
80.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0620-maintenance-heavy,maintenance_heavy,static_delay_gate
74.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0621-inventory-heavy,inventory_heavy,static_delay_gate
56.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0622-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
82.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0623-assistance-readiness,assistance_readiness,static_delay_gate
64.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0624-composite-multi-risk,composite_multi_risk,static_delay_gate
94.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0625-low-risk-routine,low_risk_routine,static_delay_gate
77.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0626-maintenance-heavy,maintenance_heavy,static_delay_gate
79.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0627-inventory-heavy,inventory_heavy,static_delay_gate
59.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0628-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0629-assistance-readiness,assistance_readiness,static_delay_gate
54.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0630-composite-multi-risk,composite_multi_risk,static_delay_gate
87.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0631-low-risk-routine,low_risk_routine,static_delay_gate
79.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0632-maintenance-heavy,maintenance_heavy,static_delay_gate
84.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0633-inventory-heavy,inventory_heavy,static_delay_gate
57.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0634-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0635-assistance-readiness,assistance_readiness,static_delay_gate
56.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0636-composite-multi-risk,composite_multi_risk,static_delay_gate
90.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0637-low-risk-routine,low_risk_routine,static_delay_gate
72.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0638-maintenance-heavy,maintenance_heavy,static_delay_gate
81.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0639-inventory-heavy,inventory_heavy,static_delay_gate
47.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0640-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
79.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0641-assistance-readiness,assistance_readiness,static_delay_gate
50.5,Priority,Delay/Gate,Gate/Turnaround,jatm-0642-composite-multi-risk,composite_multi_risk,static_delay_gate
95.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0643-low-risk-routine,low_risk_routine,static_delay_gate
80.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0644-maintenance-heavy,maintenance_heavy,static_delay_gate
80.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0645-inventory-heavy,inventory_heavy,static_delay_gate
58.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0646-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
88.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0647-assistance-readiness,assistance_readiness,static_delay_gate
51.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0648-composite-multi-risk,composite_multi_risk,static_delay_gate
88.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0649-low-risk-routine,low_risk_routine,static_delay_gate
70.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0650-maintenance-heavy,maintenance_heavy,static_delay_gate
83.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0651-inventory-heavy,inventory_heavy,static_delay_gate
49.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0652-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0653-assistance-readiness,assistance_readiness,static_delay_gate
61.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0654-composite-multi-risk,composite_multi_risk,static_delay_gate
87.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0655-low-risk-routine,low_risk_routine,static_delay_gate
76.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0656-maintenance-heavy,maintenance_heavy,static_delay_gate
84.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0657-inventory-heavy,inventory_heavy,static_delay_gate
58.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0658-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0659-assistance-readiness,assistance_readiness,static_delay_gate
54.5,Priority,Delay/Gate,Gate/Turnaround,jatm-0660-composite-multi-risk,composite_multi_risk,static_delay_gate
93.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0661-low-risk-routine,low_risk_routine,static_delay_gate
73.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0662-maintenance-heavy,maintenance_heavy,static_delay_gate
78.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0663-inventory-heavy,inventory_heavy,static_delay_gate
52.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0664-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
75.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0665-assistance-readiness,assistance_readiness,static_delay_gate
57.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0666-composite-multi-risk,composite_multi_risk,static_delay_gate
90.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0667-low-risk-routine,low_risk_routine,static_delay_gate
75.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0668-maintenance-heavy,maintenance_heavy,static_delay_gate
82.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0669-inventory-heavy,inventory_heavy,static_delay_gate
50.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0670-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
88.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0671-assistance-readiness,assistance_readiness,static_delay_gate
56.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0672-composite-multi-risk,composite_multi_risk,static_delay_gate
87.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0673-low-risk-routine,low_risk_routine,static_delay_gate
75.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0674-maintenance-heavy,maintenance_heavy,static_delay_gate
81.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0675-inventory-heavy,inventory_heavy,static_delay_gate
50.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0676-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
81.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0677-assistance-readiness,assistance_readiness,static_delay_gate
71.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0678-composite-multi-risk,composite_multi_risk,static_delay_gate
88.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0679-low-risk-routine,low_risk_routine,static_delay_gate
73.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0680-maintenance-heavy,maintenance_heavy,static_delay_gate
82.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0681-inventory-heavy,inventory_heavy,static_delay_gate
51.5,Priority,Delay/Gate,Gate/Turnaround,jatm-0682-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
86.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0683-assistance-readiness,assistance_readiness,static_delay_gate
70.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0684-composite-multi-risk,composite_multi_risk,static_delay_gate
89.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0685-low-risk-routine,low_risk_routine,static_delay_gate
75.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0686-maintenance-heavy,maintenance_heavy,static_delay_gate
83.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0687-inventory-heavy,inventory_heavy,static_delay_gate
58.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0688-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
81.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0689-assistance-readiness,assistance_readiness,static_delay_gate
62.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0690-composite-multi-risk,composite_multi_risk,static_delay_gate
89.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0691-low-risk-routine,low_risk_routine,static_delay_gate
67.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0692-maintenance-heavy,maintenance_heavy,static_delay_gate
81.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0693-inventory-heavy,inventory_heavy,static_delay_gate
61.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0694-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
78.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0695-assistance-readiness,assistance_readiness,static_delay_gate
56.0,Priority,Delay/Gate,Gate/Turnaround,jatm-0696-composite-multi-risk,composite_multi_risk,static_delay_gate
94.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0697-low-risk-routine,low_risk_routine,static_delay_gate
76.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0698-maintenance-heavy,maintenance_heavy,static_delay_gate
78.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0699-inventory-heavy,inventory_heavy,static_delay_gate
48.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0700-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0701-assistance-readiness,assistance_readiness,static_delay_gate
55.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0702-composite-multi-risk,composite_multi_risk,static_delay_gate
87.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0703-low-risk-routine,low_risk_routine,static_delay_gate
71.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0704-maintenance-heavy,maintenance_heavy,static_delay_gate
81.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0705-inventory-heavy,inventory_heavy,static_delay_gate
58.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0706-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0707-assistance-readiness,assistance_readiness,static_delay_gate
61.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0708-composite-multi-risk,composite_multi_risk,static_delay_gate
91.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0709-low-risk-routine,low_risk_routine,static_delay_gate
72.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0710-maintenance-heavy,maintenance_heavy,static_delay_gate
80.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0711-inventory-heavy,inventory_heavy,static_delay_gate
58.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0712-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0713-assistance-readiness,assistance_readiness,static_delay_gate
55.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0714-composite-multi-risk,composite_multi_risk,static_delay_gate
93.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0715-low-risk-routine,low_risk_routine,static_delay_gate
73.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0716-maintenance-heavy,maintenance_heavy,static_delay_gate
77.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0717-inventory-heavy,inventory_heavy,static_delay_gate
50.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0718-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
84.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0719-assistance-readiness,assistance_readiness,static_delay_gate
63.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0720-composite-multi-risk,composite_multi_risk,static_delay_gate
90.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0721-low-risk-routine,low_risk_routine,static_delay_gate
81.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0722-maintenance-heavy,maintenance_heavy,static_delay_gate
72.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0723-inventory-heavy,inventory_heavy,static_delay_gate
62.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0724-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0725-assistance-readiness,assistance_readiness,static_delay_gate
52.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0726-composite-multi-risk,composite_multi_risk,static_delay_gate
95.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0727-low-risk-routine,low_risk_routine,static_delay_gate
70.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0728-maintenance-heavy,maintenance_heavy,static_delay_gate
82.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0729-inventory-heavy,inventory_heavy,static_delay_gate
51.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0730-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
82.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0731-assistance-readiness,assistance_readiness,static_delay_gate
62.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0732-composite-multi-risk,composite_multi_risk,static_delay_gate
91.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0733-low-risk-routine,low_risk_routine,static_delay_gate
68.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0734-maintenance-heavy,maintenance_heavy,static_delay_gate
78.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0735-inventory-heavy,inventory_heavy,static_delay_gate
48.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0736-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0737-assistance-readiness,assistance_readiness,static_delay_gate
68.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0738-composite-multi-risk,composite_multi_risk,static_delay_gate
87.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0739-low-risk-routine,low_risk_routine,static_delay_gate
78.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0740-maintenance-heavy,maintenance_heavy,static_delay_gate
75.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0741-inventory-heavy,inventory_heavy,static_delay_gate
44.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0742-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
86.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0743-assistance-readiness,assistance_readiness,static_delay_gate
54.8,Priority,Delay/Gate,Gate/Turnaround,jatm-0744-composite-multi-risk,composite_multi_risk,static_delay_gate
90.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0745-low-risk-routine,low_risk_routine,static_delay_gate
74.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0746-maintenance-heavy,maintenance_heavy,static_delay_gate
75.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0747-inventory-heavy,inventory_heavy,static_delay_gate
51.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0748-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0749-assistance-readiness,assistance_readiness,static_delay_gate
53.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0750-composite-multi-risk,composite_multi_risk,static_delay_gate
90.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0751-low-risk-routine,low_risk_routine,static_delay_gate
75.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0752-maintenance-heavy,maintenance_heavy,static_delay_gate
84.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0753-inventory-heavy,inventory_heavy,static_delay_gate
47.0,Priority,Delay/Gate,Gate/Turnaround,jatm-0754-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
84.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0755-assistance-readiness,assistance_readiness,static_delay_gate
50.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0756-composite-multi-risk,composite_multi_risk,static_delay_gate
91.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0757-low-risk-routine,low_risk_routine,static_delay_gate
72.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0758-maintenance-heavy,maintenance_heavy,static_delay_gate
79.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0759-inventory-heavy,inventory_heavy,static_delay_gate
61.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0760-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
76.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0761-assistance-readiness,assistance_readiness,static_delay_gate
55.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0762-composite-multi-risk,composite_multi_risk,static_delay_gate
85.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0763-low-risk-routine,low_risk_routine,static_delay_gate
73.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0764-maintenance-heavy,maintenance_heavy,static_delay_gate
79.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0765-inventory-heavy,inventory_heavy,static_delay_gate
51.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0766-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
79.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0767-assistance-readiness,assistance_readiness,static_delay_gate
55.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0768-composite-multi-risk,composite_multi_risk,static_delay_gate
87.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0769-low-risk-routine,low_risk_routine,static_delay_gate
70.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0770-maintenance-heavy,maintenance_heavy,static_delay_gate
77.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0771-inventory-heavy,inventory_heavy,static_delay_gate
58.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0772-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
76.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0773-assistance-readiness,assistance_readiness,static_delay_gate
49.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0774-composite-multi-risk,composite_multi_risk,static_delay_gate
91.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0775-low-risk-routine,low_risk_routine,static_delay_gate
71.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0776-maintenance-heavy,maintenance_heavy,static_delay_gate
76.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0777-inventory-heavy,inventory_heavy,static_delay_gate
53.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0778-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0779-assistance-readiness,assistance_readiness,static_delay_gate
53.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0780-composite-multi-risk,composite_multi_risk,static_delay_gate
92.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0781-low-risk-routine,low_risk_routine,static_delay_gate
71.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0782-maintenance-heavy,maintenance_heavy,static_delay_gate
80.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0783-inventory-heavy,inventory_heavy,static_delay_gate
63.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0784-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
75.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0785-assistance-readiness,assistance_readiness,static_delay_gate
58.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0786-composite-multi-risk,composite_multi_risk,static_delay_gate
89.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0787-low-risk-routine,low_risk_routine,static_delay_gate
80.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0788-maintenance-heavy,maintenance_heavy,static_delay_gate
74.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0789-inventory-heavy,inventory_heavy,static_delay_gate
62.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0790-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
88.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0791-assistance-readiness,assistance_readiness,static_delay_gate
